frame,x1,y1,x2,y2,cx,cy,visibility
0,2250.4736,1173.6653,2302.9526,1223.585,2276,1198,1
0,2215.9368,1410.7446,2268.8308,1440.0,2242,1425,1
1,2251.5913,1168.4231,2302.4849,1229.0222,2277,1198,1
1,2215.9414,1410.5768,2268.5225,1440.0,2242,1425,1
2,2251.6301,1168.368,2302.4631,1228.9176,2277,1198,1
2,2216.0537,1410.6162,2268.496,1440.0,2242,1425,1
3,2251.6145,1168.4635,2302.4456,1228.9562,2277,1198,1
3,2216.1826,1410.6672,2268.5122,1440.0,2242,1425,1
4,2251.6436,1168.4817,2302.6143,1229.0984,2277,1198,1
4,2216.1162,1410.648,2268.6777,1440.0,2242,1425,1
5,2251.6343,1168.3357,2302.5913,1229.2107,2277,1198,1
5,2215.98,1410.4116,2268.516,1440.0,2242,1425,1
6,2251.5127,1168.3575,2302.6328,1229.4095,2277,1198,1
6,2215.8657,1410.3608,2268.5308,1440.0,2242,1425,1
7,2251.624,1168.3213,2302.7441,1229.354,2277,1198,1
7,2215.7837,1410.4159,2268.5073,1440.0,2242,1425,1
8,2251.501,1168.2258,2302.754,1229.3147,2277,1198,1
8,2215.8132,1410.4231,2268.4534,1440.0,2242,1425,1
9,2251.2258,1168.2303,2302.4568,1229.2318,2276,1198,1
9,2215.844,1410.3053,2268.5159,1440.0,2242,1425,1
10,2251.3037,1168.259,2302.4844,1229.2122,2276,1198,1
10,2215.8267,1410.3044,2268.5103,1440.0,2242,1425,1
11,2251.2134,1168.3474,2302.4146,1229.2585,2276,1198,1
11,2215.8142,1410.3062,2268.4978,1440.0,2242,1425,1
12,2251.4546,1168.2314,2302.7017,1229.2666,2277,1198,1
12,2215.8699,1410.3469,2268.5017,1440.0,2242,1425,1
13,2251.5007,1168.2991,2302.346,1228.9744,2276,1198,1
13,2216.0073,1410.3391,2268.4634,1440.0,2242,1425,1
14,2251.462,1168.3213,2302.4287,1229.1318,2276,1198,1
14,2215.936,1410.3196,2268.4614,1440.0,2242,1425,1
15,2251.3135,1168.2487,2302.4346,1229.1927,2276,1198,1
15,2215.75,1410.2861,2268.5244,1440.0,2242,1425,1
16,2251.3154,1168.2385,2302.5,1229.1721,2276,1198,1
16,2215.824,1410.3015,2268.509,1440.0,2242,1425,1
