                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7656,                 4.4814,                 1.2908,                0.00226,                0.73077,                0.00374,                0.00114,                 1.8196,                 5.2234,                 1.1402,                0.00052,                0.00052,                0.00052
                      2,                  1.686,                 3.8319,                 1.2807,                0.00155,                    0.5,                0.00267,                0.00129,                 1.7159,                 5.5787,                 1.1567,               0.001018,               0.001018,               0.001018
                      3,                 1.8363,                 4.0182,                 1.3137,                0.00272,                0.84615,                0.03344,                0.01642,                 1.9155,                 5.0428,                   1.24,              0.0014733,              0.0014733,              0.0014733
                      4,                 1.8068,                 3.6074,                  1.338,                0.85351,                0.44884,                0.53689,                 0.2493,                 1.9402,                  3.807,                 1.2832,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.7887,                  3.574,                 1.3028,                0.02724,                0.11538,                0.01386,                0.00478,                 1.8469,                 5.3367,                 1.2418,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.9968,                 3.2242,                 1.4224,                0.59376,                0.11538,                0.14978,                0.07896,                 1.7153,                 5.6704,                  1.181,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.9619,                 3.1169,                 1.3883,                0.33672,                0.38462,                0.20559,                0.09313,                 1.8589,                 5.5032,                 1.1929,               0.001604,               0.001604,               0.001604
                      8,                 1.9523,                 2.9005,                 1.3528,                 0.4096,                0.69231,                0.56236,                0.25457,                 1.8014,                 3.2737,                 1.1285,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.8828,                 2.5295,                 1.3156,                0.80415,                0.53846,                0.66353,                0.24418,                 1.8806,                 3.1792,                 1.1791,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.8094,                 2.4919,                  1.316,                0.44961,                0.46154,                0.47133,                  0.202,                 1.8352,                 3.4012,                 1.2504,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.8309,                 2.5725,                 1.3584,                0.47316,                0.51847,                0.46131,                0.23863,                 1.7659,                 3.3738,                 1.1272,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.7341,                 2.4013,                 1.2826,                0.62524,                0.73077,                0.76212,                0.36017,                 1.7762,                 2.2333,                 1.1249,               0.001208,               0.001208,               0.001208
                     13,                 1.7026,                 2.1956,                 1.3004,                0.80566,                0.65385,                0.78375,                0.37389,                 1.8545,                 2.1403,                  1.173,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.7151,                 1.9216,                 1.2651,                0.69485,                0.78854,                0.79151,                 0.3348,                 2.0011,                 2.2506,                 1.2116,              0.0010496,              0.0010496,              0.0010496
                     15,                  1.728,                 1.9279,                 1.2893,                0.61176,                0.84615,                0.83492,                0.40933,                 1.6408,                 1.9048,                 1.1249,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.7171,                 2.0278,                 1.2965,                0.59643,                0.80769,                0.83464,                0.41064,                 1.7422,                 1.8906,                 1.1443,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.6223,                 1.7829,                 1.2288,                0.78511,                0.84615,                0.86881,                0.44329,                  1.693,                 1.8941,                 1.1332,               0.000812,               0.000812,               0.000812
                     18,                 1.5607,                 1.6343,                 1.2052,                0.72456,                0.88462,                   0.86,                0.41502,                  1.751,                 1.7532,                 1.1513,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.5606,                 1.7412,                 1.1806,                0.73395,                0.84892,                0.84865,                0.40345,                 1.8649,                 1.6927,                 1.1753,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.5393,                 1.6075,                 1.1832,                0.64836,                0.85111,                0.75685,                0.38378,                 1.7909,                  1.705,                 1.1628,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.4472,                 1.5137,                 1.1405,                0.67311,                0.73077,                0.72427,                0.35402,                 1.7704,                  1.723,                 1.1562,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.5042,                 1.5171,                 1.1767,                0.73844,                0.76034,                0.77834,                0.35133,                 1.7753,                  1.612,                 1.1609,               0.000416,               0.000416,               0.000416
                     23,                 1.5118,                 1.4335,                 1.1883,                0.75858,                0.65385,                0.76915,                0.36528,                 1.7747,                 1.6107,                 1.1615,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.5256,                 1.4283,                 1.1687,                0.73915,                0.69231,                0.79036,                0.37373,                 1.7802,                 1.5955,                 1.1574,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.4946,                 1.4104,                 1.2076,                0.74026,                0.76736,                0.82567,                 0.3884,                  1.836,                 1.6093,                 1.1661,              0.0001784,              0.0001784,              0.0001784
